Marca temporal,Edad,Género,Nivel Educativo,Sector Laboral,¿Cuántos años de experiencia tiene en su sector laboral actual? ,¿Ha recibido capacitación en calidad de servicios en los últimos 2 años? ,"Si respondió ""Sí"" a la pregunta anterior, ¿qué tipo de capacitación recibió? (Seleccione todas las que apliquen): ",¿Cómo calificaría la calidad de los servicios ofrecidos en su sector? ,¿Considera que si recibiera alguna capacitación en su campo mejoraría la calidad de los servicios que ofrece? ,"En su opinión, ¿cuáles son los principales obstáculos para la implementación de una capacitación efectiva en calidad de servicios en Panamá? (Seleccione todas las que apliquen)",¿Cree que una mayor inversión en capacitación orientada a la calidad de servicios podría mejorar la percepción internacional de Panamá? 
06/29/2024 20:10,20-29 años,Femenino,Educación superior (pregrado),Comercio,4-6 años,No,,2,Sí,"Tiempo insuficiente, Falta de programas de capacitación adecuados",Sí
06/29/2024 20:11,Menos de 20 años,Otro,Educación primaria,Servicios financieros,7-10 años,No,,2,Sí,Tiempo insuficiente,Sí
06/29/2024 20:20,30-39 años,Masculino,"Educación primaria, Educación secundaria, Educación superior (postgrado)","Administración, Comercio",4-6 años,Sí,"Atención al cliente, Mejora de procesos",4,Sí,Falta de interés por parte de la gerencia,Sí
06/29/2024 20:21,20-29 años,Masculino,Educación superior (postgrado),"Comercio, Servicios financieros",1-3 años,No,,3,Sí,"Falta de interés por parte de la gerencia, Tiempo insuficiente",Sí
06/29/2024 20:25,20-29 años,Femenino,Educación superior (pregrado),Construcción e Industrias Extractivas,Menos de 1 año,No,,3,Sí,"Falta de interés por parte de la gerencia, Falta de programas de capacitación adecuados",Sí
06/29/2024 20:25,20-29 años,Femenino,Educación superior (pregrado),Educativo,1-3 años,No,,3,Sí,"Falta de recursos, Falta de interés por parte de la gerencia, Tiempo insuficiente, Falta de programas de capacitación adecuados",Sí
06/29/2024 20:38,20-29 años,Femenino,Educación secundaria,Administración,1-3 años,No,Mejora de procesos,4,No,Falta de recursos,No
06/29/2024 21:08,Menos de 20 años,Masculino,Educación superior (pregrado),Ingeniero ,Menos de 1 año,Sí,Mejora de procesos,5,Sí,"Falta de recursos, Falta de interés por parte de la gerencia, Falta de programas de capacitación adecuados",Sí
06/29/2024 21:09,Menos de 20 años,Masculino,Educación superior (pregrado),Administración,1-3 años,Sí,"Atención al cliente, Manejo de quejas, Mejora de procesos",5,Sí,"Falta de recursos, Falta de interés por parte de la gerencia, Falta de programas de capacitación adecuados",Sí
06/29/2024 21:17,30-39 años,Masculino,Educación superior (pregrado),Ingeniero,Más de 10 años,No,,5,Sí,Falta de programas de capacitación adecuados,Sí
06/29/2024 21:25,20-29 años,Femenino,Educación superior (postgrado),Administración,1-3 años,No,,5,Sí,Tiempo insuficiente,Sí
06/29/2024 22:56,40-50 años o más,Masculino,Educación superior (postgrado),Servicios financieros,7-10 años,No,,4,Sí,Falta de programas de capacitación adecuados,Sí
06/29/2024 22:59,Menos de 20 años,Masculino,"Educación primaria, Educación secundaria, Educación superior (postgrado)",Comercio,1-3 años,No,,3,Sí,"Falta de interés por parte de la gerencia, Falta de programas de capacitación adecuados",Sí
06/29/2024 23:02,Menos de 20 años,Femenino,Educación superior (postgrado),"Administración, Comercio",4-6 años,No,,2,Sí,Falta de programas de capacitación adecuados,Sí
06/29/2024 23:02,Menos de 20 años,Masculino,Educación superior (pregrado),Ingeniero,Menos de 1 año,Sí,"Mejora de procesos, Estándares internacionales",3,Sí,"Falta de recursos, Falta de interés por parte de la gerencia, Falta de programas de capacitación adecuados",Sí
06/29/2024 23:03,20-29 años,Femenino,"Educación primaria, Educación secundaria, Educación superior (pregrado)",Ingeniero,1-3 años,No,,3,Sí,"Falta de recursos, Falta de interés por parte de la gerencia, Tiempo insuficiente, Falta de programas de capacitación adecuados",Sí
06/29/2024 23:03,20-29 años,Masculino,Educación superior (postgrado),"Administración, Comercio",1-3 años,No,,3,Sí,"Falta de interés por parte de la gerencia, Tiempo insuficiente, Falta de programas de capacitación adecuados",Sí
06/29/2024 23:04,30-39 años,Femenino,Educación superior (postgrado),Administración,4-6 años,Sí,"Mejora de procesos, Estándares internacionales",4,Sí,Tiempo insuficiente,Sí
06/29/2024 23:06,20-29 años,Masculino,"Educación primaria, Educación secundaria, Educación superior (pregrado)",Ingeniero,Menos de 1 año,No,,3,Sí,"Falta de recursos, Falta de interés por parte de la gerencia, Tiempo insuficiente, Falta de programas de capacitación adecuados",Sí
06/29/2024 23:10,20-29 años,Masculino,"Educación primaria, Educación secundaria","Administración, Actividades Físco-Deportivas, Ingeniero",Menos de 1 año,Sí,Atención al cliente,4,Sí,"Falta de recursos, Falta de interés por parte de la gerencia, Falta de programas de capacitación adecuados",Sí
06/29/2024 23:11,20-29 años,Femenino,Educación superior (pregrado),"Administración, Comercio",1-3 años,No,,3,Sí,Falta de programas de capacitación adecuados,Sí
06/30/2024 7:48,20-29 años,Masculino,Educación superior (pregrado),Ingeniero,Menos de 1 año,No,,1,Sí,"Falta de interés por parte de la gerencia, Falta de programas de capacitación adecuados",Sí
06/30/2024 11:25,20-29 años,Femenino,Educación superior (pregrado),Ingeniero,Menos de 1 año,Sí,Estándares internacionales,3,Sí,"Falta de recursos, Falta de interés por parte de la gerencia, Falta de programas de capacitación adecuados",Sí
